Banco,Data operação,Tipo de ativo,Nome ativo,C/V,Preço operação,Qnt,Valor total,Preço médio,Lucro,Imposto,Observação,F sup
Nuinvest,06/03/2024,Ação,ROMI3,C,"R$ 12,97",324,"R$ 4.202,28",,,,,"R$ 0,00"
Nuinvest,06/03/2024,Ação,CIEL3,V,"R$ 5,35",792,"R$ 4.237,20","R$ 4,69","R$ 521,97","R$ 78,30",,"R$ 3.715,23"
Inter,21/02/2024,Ação,CMIG4,C,"R$ 11,82",18,"R$ 212,76",,,,DARF Fevereiro,"R$ 0,00"
Inter,21/02/2024,Ação,GGBR4,C,"R$ 21,74",9,"R$ 195,66",,,,,"R$ 0,00"
Inter,21/02/2024,Tesouro,Selic 2029,C,"R$ 14.377,02","0,03","R$ 431,31",,,,Ações : Isento,"R$ 0,00"
Nuinvest,15/02/2024,USD,BITH11,V,"R$ 60,70",7,"R$ 424,90","R$ 50,25","R$ 73,15","R$ 10,97",ETF :,"R$ 351,75"
Nuinvest,15/02/2024,Ação,SAPR4,C,"R$ 5,27",88,"R$ 463,76",,,,"R$ 24,21","R$ 0,00"
Nuinvest,15/02/2024,Ação,CMIG4,C,"R$ 11,41",53,"R$ 604,73",,,,FII :,"R$ 0,00"
Nuinvest,15/02/2024,FII,RBRR11,C,"R$ 90,00",1,"R$ 90,00",,,,"R$ 55,72","R$ 0,00"
Nuinvest,15/02/2024,USD,SPXI11,V,"R$ 269,63",2,"R$ 539,26","R$ 225,51","R$ 88,24","R$ 13,24",Status: Pago,"R$ 451,02"
Inter,14/02/2024,FII,KORE11,C,"R$ 108,20",9,"R$ 973,80",,,,,"R$ 0,00"
Inter,14/02/2024,FII,HGLG11,V,"R$ 164,65",4,"R$ 658,60","R$ 162,74","R$ 7,66","R$ 1,53",,"R$ 650,94"
Inter,14/02/2024,FII,HSML11,V,"R$ 96,42",3,"R$ 289,26","R$ 92,59","R$ 11,48","R$ 2,30",,"R$ 277,78"
Nuinvest,14/02/2024,FII,RBRR11,C,"R$ 89,33",44,"R$ 3.930,52",,,,,"R$ 0,00"
Nuinvest,14/02/2024,FII,KORE11,C,"R$ 108,00",38,"R$ 4.104,00",,,,,"R$ 0,00"
Nuinvest,14/02/2024,FII,HGLG11,V,"R$ 164,69",13,"R$ 2.140,97","R$ 161,98","R$ 35,18","R$ 7,04",,"R$ 2.105,79"
Nuinvest,14/02/2024,FII,HGRE11,V,"R$ 132,09",15,"R$ 1.981,35","R$ 134,94","-R$ 42,75","-R$ 8,55",,"R$ 2.024,10"
Nuinvest,09/02/2024,FII,TRXF11,C,"R$ 111,14",37,"R$ 4.112,18",,,,,"R$ 0,00"
Nuinvest,09/02/2024,FII,RBVA11,V,"R$ 113,10",36,"R$ 4.071,60","R$ 104,83","R$ 297,73","R$ 59,55",,"R$ 3.773,87"
Nuinvest,09/02/2024,Tesouro,LFTS11,V,"R$ 116,38",10,"R$ 1.163,80","R$ 115,43","R$ 9,50",,,"R$ 1.154,30"
Inter,07/02/2024,FII,HSML11,C,"R$ 97,36",4,"R$ 389,44",,,,,"R$ 0,00"
Inter,07/02/2024,FII,HGLG11,C,"R$ 164,94",2,"R$ 329,88",,,,,"R$ 0,00"
Inter,07/02/2024,Tesouro,IPCA+ 2045,C,"R$ 1.269,98","0,79","R$ 1.003,28",,,,,"R$ 0,00"
Inter,05/02/2024,FII,KNCA11,V,"R$ 103,98",9,"R$ 935,82","R$ 104,75","-R$ 6,93","-R$ 1,39",,"R$ 942,75"
Inter,05/02/2024,FII,CPTI11,C,"R$ 100,00",9,"R$ 900,00",,,,,"R$ 0,00"
Nuinvest,05/02/2024,FII,KNCA11,V,"R$ 103,98",39,"R$ 4.055,22","R$ 104,59","-R$ 23,79","-R$ 4,76",,"R$ 4.079,01"
Nuinvest,01/02/2024,USD,ALUG11,C,"R$ 33,98",240,"R$ 8.155,20",,,,,"R$ 0,00"
Nuinvest,31/01/2024,USD,ALUG11,V,"R$ 34,09",230,"R$ 7.840,70","R$ 34,95","-R$ 197,19","-R$ 29,58",DARF Janeiro,"R$ 8.037,89"
Nuinvest,25/01/2024,Ação,SLCE3,C,"R$ 19,48",206,"R$ 4.012,88",,,,,"R$ 0,00"
Nuinvest,25/01/2024,Ação,PSSA3,V,"R$ 27,24",115,"R$ 3.132,60","R$ 27,84","-R$ 69,50","-R$ 10,42",Ações : Isento,"R$ 3.202,10"
Nuinvest,25/01/2024,Tesouro,LFTS11,V,"R$ 115,78",10,"R$ 1.157,80","R$ 115,43","R$ 3,50",,"ETF : 69,17","R$ 1.154,30"
Inter,23/01/2024,Ação,CMIG4,C,"R$ 11,56",13,"R$ 150,28",,,,"FII : 63,29","R$ 0,00"
Inter,23/01/2024,Ação,GGBR4,C,"R$ 21,25",5,"R$ 106,25",,,,Status : PAGO,"R$ 0,00"
Inter,23/01/2024,Ação,SLCE3,C,"R$ 19,02",25,"R$ 475,50",,,,,"R$ 0,00"
Inter,23/01/2024,Ação,SLCE3,C,"R$ 19,04",4,"R$ 76,16",,,,,"R$ 0,00"
Nuinvest,22/01/2024,Tesouro,Selic 2029,C,"R$ 14.254,11","0,21","R$ 2.993,36",,,,,"R$ 0,00"
Nuinvest,19/01/2024,Tesouro,Selic 2029,C,"R$ 14.247,56","0,36","R$ 5.129,12",,,,,"R$ 0,00"
Nuinvest,19/01/2024,Tesouro,LFTS11,V,"R$ 115,66",19,"R$ 2.197,54","R$ 115,43","R$ 4,37",,,"R$ 2.193,17"
Inter,18/01/2024,FII,HSML11,C,"R$ 94,34",1,"R$ 94,34",,,,,"R$ 0,00"
Nuinvest,18/01/2024,FII,HSML11,C,"R$ 94,34",23,"R$ 2.169,82",,,,,"R$ 0,00"
Nuinvest,16/01/2024,USD,SPXI11,V,"R$ 253,00",22,"R$ 5.566,00","R$ 225,51","R$ 604,79","R$ 90,72",ETF Janeiro,"R$ 4.961,21"
Nuinvest,16/01/2024,Tesouro,Selic 2029,C,"R$ 14.227,82","1,2","R$ 17.073,38",,,,,"R$ 0,00"
Nuinvest,15/01/2024,USD,SPXI11,V,"R$ 252,29",2,"R$ 504,58","R$ 225,51","R$ 53,56","R$ 8,03",ETF Janeiro,"R$ 451,02"
Nuinvest,15/01/2024,USD,ALUG11,C,"R$ 34,94",61,"R$ 2.131,34",,,,,"R$ 0,00"
Nuinvest,15/01/2024,USD,ALUG11,C,"R$ 34,95",169,"R$ 5.906,55",,,,,"R$ 0,00"
Nuinvest,15/01/2024,USD,BITH11,C,"R$ 50,25",40,"R$ 2.010,00",,,,,"R$ 0,00"
Nuinvest,15/01/2024,FII,BTCR11,V,"R$ 9,98",410,"R$ 4.091,80","R$ 9,33","R$ 266,30","R$ 53,26",FII janeiro,"R$ 3.825,50"
Nuinvest,15/01/2024,FII,HGRE11,C,"R$ 134,94",15,"R$ 2.024,10",,,,,"R$ 0,00"
Nuinvest,15/01/2024,Tesouro,IPCA+ 2045,C,"R$ 1.300,13","1,54","R$ 2.002,20",,,,,"R$ 0,00"
Inter,15/01/2024,Ação,BBDC4,C,"R$ 15,74",1,"R$ 15,74",,,,,"R$ 0,00"
Inter,15/01/2024,Ação,BBDC4,C,"R$ 15,75",28,"R$ 441,00",,,,,"R$ 0,00"
Inter,15/01/2024,Ação,TRPL4,C,"R$ 26,76",16,"R$ 428,16",,,,,"R$ 0,00"
Inter,15/01/2024,FII,HGRU11,C,"R$ 139,27",7,"R$ 974,89",,,,,"R$ 0,00"
Inter,15/01/2024,FII,JSRE11,V,"R$ 76,68",12,"R$ 920,16","R$ 74,05","R$ 31,56","R$ 6,31",FII Janeiro,"R$ 888,60"
Inter,15/01/2024,FII,KNCA11,C,"R$ 104,75",9,"R$ 942,75",,,,,"R$ 0,00"
Nuinvest,12/01/2024,FII,KNCA11,C,"R$ 104,59",39,"R$ 4.079,01",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Tesouro,LFTS11,C,"R$ 115,43",87,"R$ 10.042,41",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Ação,TRPL4,C,"R$ 26,96",100,"R$ 2.696,00",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Ação,TRPL4,C,"R$ 26,98",49,"R$ 1.322,02",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Ação,VALE3,V,"R$ 71,88",21,"R$ 1.509,48","R$ 68,45","R$ 71,95","R$ 10,79",Isento Janeiro,"R$ 1.437,53"
Nuinvest,12/01/2024,Ação,BBAS3,C,"R$ 27,54",128,"R$ 3.525,12",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Ação,BBDC4,C,"R$ 15,86",253,"R$ 4.012,58",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Ação,CMIG4,C,"R$ 12,11",100,"R$ 1.211,00",,,,,"R$ 0,00"
Nuinvest,12/01/2024,Ação,SUZB3,C,"R$ 53,69",75,"R$ 4.026,75",,,,,"R$ 0,00"
Nuinvest,11/01/2024,Ação,GGBR4,C,"R$ 21,29",38,"R$ 809,02",,,,,"R$ 0,00"
Nuinvest,09/01/2024,FII,HGLG11,C,"R$ 162,00",7,"R$ 1.134,00",,,,,"R$ 0,00"
Nuinvest,08/01/2024,FII,CPTI11,C,"R$ 99,72",41,"R$ 4.088,52",,,,,"R$ 0,00"
Nuinvest,08/01/2024,FII,CVBI11,V,"R$ 93,77",42,"R$ 3.938,34","R$ 90,20","R$ 149,88","R$ 29,98","Soma igual à R$ 6, pagar 3,72 de Darf","R$ 3.788,46"
Nuinvest,08/01/2024,FII,JSRE11,V,"R$ 76,45",20,"R$ 1.529,00","R$ 79,38","-R$ 58,64","-R$ 11,73",,"R$ 1.587,64"
Nuinvest,08/01/2024,FII,JSRE11,V,"R$ 76,46",10,"R$ 764,60","R$ 79,38","-R$ 29,22","-R$ 5,84",,"R$ 793,82"
Nuinvest,08/01/2024,FII,JSRE11,V,"R$ 76,47",11,"R$ 841,17","R$ 79,38","-R$ 32,03","-R$ 6,41",,"R$ 873,20"
Inter,08/01/2024,FII,KNSC11,C,"R$ 9,19",99,"R$ 909,81",,,,,"R$ 0,00"
Nuinvest,05/01/2024,FII,HSML11,V,"R$ 96,20",2,"R$ 192,40","R$ 91,93","R$ 8,54","R$ 1,71","Soma igual a R$0,12","R$ 183,87"
Nuinvest,05/01/2024,FII,JSRE11,V,"R$ 75,42",2,"R$ 150,84","R$ 79,38","-R$ 7,92","-R$ 1,58",,"R$ 158,76"
